"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","1","0"
"P2","Text","Version history","1","0"
"P3","Text","Sheet ""Version history""","1","0"
"P4","Unknown","","0","0"
"P5","Text","Navigation Area:","9","0"
"P6","Date","Date","8","0"
"P7","Text","Table of contents","32","0"
"P8","Unknown","","0","0"
"P9","Text","Further Guidance","1","0"
"P10","Unknown","","0","0"
"P11","Text","Summary_Processes","1","0"
"P12","Unknown","","0","0"
"P13","Text","Summary_Products","1","0"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","2","0"
"P19","Text","ausblenden","2","0"
"P20","Text","ausblenden","2","0"
"P21","Text","ausblenden","2","0"
