"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","6","0"
"P2","Text","InstData","1","0"
"P3","Number","A.","6","0"
"P4","Text","Reporting period","62","0"
"P5","Text","Navigation Area:","43","0"
"P6","Text","Included goods categories listed under (a)","3","0"
"P7","Text","Table of contents","8","12"
"P8","Text","Start:","4","3"
"P9","Text","Further Guidance","6","2"
"P10","Text","Route 2","5","2"
"P11","Text","Summary_Processes","8","3"
"P12","Text","Route 4","3","2"
"P13","Text","Summary_Products","4","2"
"P14","Text","Route 6","3","32"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","12","0"
"P19","Text","ausblenden","7","1"
"P20","Text","ausblenden","7","10"
"P21","Text","ausblenden","4","20"
"P22","Text","ausblenden","41","0"
"P23","Text","ausblenden","3","40"
"P24","Text","ausblenden","6","40"
"P25","Text","ausblenden","4","40"
"P26","Text","ausblenden","4","40"
"P27","Text","ausblenden","4","40"
"P28","Text","ausblenden","4","40"
"P29","Text","ausblenden","4","20"
"P30","Text","ausblenden","3","10"
"P31","Text","ausblenden","3","10"
"P32","Text","ausblenden","1","0"
"P33","Text","ausblenden","3","0"
"P34","Text","ausblenden","4","30"
"P35","Text","ausblenden","3","40"
