"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","2","0"
"P2","Text","Production processes","1","0"
"P3","Number","D.","11","0"
"P4","Text","Data input for the determination of the specific embedded emissions","35","0"
"P5","Text","Navigation Area:","29","170"
"P6","Unknown","","0","0"
"P7","Text","Table of contents","2","13"
"P8","Text","Production route","2","80"
"P9","Text","Further Guidance","2","3"
"P10","Unknown","","1","10"
"P11","Text","Summary_Processes","10","212"
"P12","Text","","6","50"
"P13","Text","Summary_Products","4","12"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","22","0"
"P19","Text","ausblenden","16","0"
"P20","Text","ausblenden","6","180"
"P21","Text","ausblenden","2","0"
"P22","Text","ausblenden","5","0"
"P23","Text","ausblenden","3","0"
"P24","Text","ausblenden","6","230"
