"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","2","0"
"P2","Text","Purchased precursors","1","0"
"P3","Number","E.","21","0"
"P4","Text","Data input for the determination of the specific embedded emissions","42","0"
"P5","Text","Navigation Area:","16","364"
"P6","Unknown","","0","0"
"P7","Text","Table of contents","2","24"
"P8","Text","Production route","2","160"
"P9","Text","Further Guidance","2","4"
"P10","Unknown","","1","20"
"P11","Text","Summary_Processes","3","504"
"P12","Text","","3","80"
"P13","Text","Summary_Products","3","4"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","33","0"
"P19","Number","ausblenden","16","0"
"P20","Text","ausblenden","8","280"
"P21","Text","ausblenden","4","60"
"P22","Text","ausblenden","9","0"
"P23","Text","ausblenden","1","0"
"P24","Text","ausblenden","5","0"
"P25","Text","ausblenden","5","160"
"P26","Text","ausblenden","8","240"
