"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","6","0"
"P2","Text","Further Guidance","1","0"
"P3","Number","G.","6","0"
"P4","Text","General guidance","21","0"
"P5","Text","Navigation Area:","145","0"
"P6","Text","SEE Denominator","13","0"
"P7","Text","Table of contents","153","0"
"P8","Unknown","","0","0"
"P9","Text","Source streams and emission sources","1","0"
"P10","Unknown","","0","0"
"P11","Text","Summary_Processes","2","0"
"P12","Unknown","","0","0"
"P13","Text","Summary_Products","2","0"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","12","0"
"P19","Text","ausblenden","12","0"
"P20","Text","ausblenden","3","0"
"P21","Text","ausblenden","2","0"
"P22","Text","ausblenden","3","0"
"P23","Text","ausblenden","1","0"
"P24","Text","ausblenden","3","0"
