"P1","P2","P3","P4","P5","P6","P7","P8"
"ausblenden",,,,,"0_",,"ausblenden"
"ausblenden",,"CNCodes_ListNames","CNCodes_ListKey",,"CNCodes_ListNumbering",,
"CNKEY","CODE_EN","SELFTEXT","CODE_EN","CBAM good","Numbering",,"SELFTEXT_EN"
"250700800080","2507 00 80","Kaolinic clays (other than kaolin)","25070080","Calcined clays ","1_Calcined clays ",,"Kaolinic clays (other than kaolin)"
"252310000080","2523 10 00","Cement clinkers","25231000","Cement clinker","1_Cement clinker",,"Cement clinkers"
"252321000080","2523 21 00","White portland cement, whether or not artificially coloured","25232100","Cement","1_Cement",,"White portland cement, whether or not artificially coloured"
"252329000080","2523 29 00","Portland cement (excl. white, whether or not artificially coloured)","25232900","Cement","2_Cement",,"Portland cement (excl. white, whether or not artificially coloured)"
"252330000080","2523 30 00","Aluminous cement","25233000","Aluminous cement","1_Aluminous cement",,"Aluminous cement"
"252390000080","2523 90 00","Cement, whether or not coloured (excl. portland cement and aluminous cement)","25239000","Cement","3_Cement",,"Cement, whether or not coloured (excl. portland cement and aluminous cement)"
"260112000080","2601 12 00","Agglomerated iron ores and concentrates (excl. roasted iron pyrites)","26011200","Sintered Ore","1_Sintered Ore",,"Agglomerated iron ores and concentrates (excl. roasted iron pyrites)"
"280410000080","2804 10 00","Hydrogen","28041000","Hydrogen","1_Hydrogen",,"Hydrogen"
"280800000080","2808 00 00","Nitric acid; sulphonitric acids","28080000","Nitric acid","1_Nitric acid",,"Nitric acid; sulphonitric acids"
"281410000080","2814 10 00","Anhydrous ammonia","28141000","Ammonia","1_Ammonia",,"Anhydrous ammonia"
"281420000080","2814 20 00","Ammonia in aqueous solution","28142000","Ammonia","2_Ammonia",,"Ammonia in aqueous solution"
"283421000080","2834 21 00","Nitrate of potassium","28342100","Mixed fertilisers","1_Mixed fertilisers",,"Nitrate of potassium"
"310210100080","3102 10 10","Urea, whether or not in aqueous solution, containing > 45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31021010","Urea","1_Urea",,"Urea, whether or not in aqueous solution, containing > 45% nitrogen in relation to the weight of the dry product (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310210900080","3102 10 90","Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)","31021090","Urea","2_Urea",,"Urea, whether or not in aqueous solution, containing <= 45% by weight of nitrogen on the dry anhydrous product (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)"
"310221000080","3102 21 00","Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31022100","Mixed fertilisers","2_Mixed fertilisers",,"Ammonium sulphate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310229000080","3102 29 00","Double salts and mixtures of ammonium sulphate and ammonium nitrate (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)","31022900","Mixed fertilisers","3_Mixed fertilisers",,"Double salts and mixtures of ammonium sulphate and ammonium nitrate (excl. goods of this chapter in tablets or similar forms or in packages of a gross weight of <= 10 kg)"
"310230100080","3102 30 10","Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg)","31023010","Mixed fertilisers","4_Mixed fertilisers",,"Ammonium nitrate in aqueous solution (excl. that in packages with a gross weight of <= 10 kg)"
"310230900080","3102 30 90","Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31023090","Mixed fertilisers","5_Mixed fertilisers",,"Ammonium nitrate (excl. that in aqueous solution, in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310240100080","3102 40 10","Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31024010","Mixed fertilisers","6_Mixed fertilisers",,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing <= 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310240900080","3102 40 90","Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31024090","Mixed fertilisers","7_Mixed fertilisers",,"Mixtures of ammonium nitrate with calcium carbonate or other inorganic non-fertilising substances, for use as fertilisers, containing > 28% nitrogen by weight (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310250000080","3102 50 00","Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31025000","Mixed fertilisers","8_Mixed fertilisers",,"Sodium nitrate (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310260000080","3102 60 00","Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31026000","Mixed fertilisers","9_Mixed fertilisers",,"Double salts and mixtures of calcium nitrate and ammonium nitrate (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310280000080","3102 80 00","Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg)","31028000","Mixed fertilisers","10_Mixed fertilisers",,"Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution (excl. those in packages with a gross weight of <= 10 kg)"
"310290000080","3102 90 00","Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg)","31029000","Mixed fertilisers","11_Mixed fertilisers",,"Mineral or chemical nitrogen fertilisers (excl. urea; ammonium sulphate; ammonium nitrate; sodium nitrate; double salts and mixtures of ammonium nitrate with ammonium sulphate or calcium; mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution; mixtures of ammonium nitrate and calcium carbonate or other non-fertilising inorganic elements; in tablets or similar in packages <= 10 kg)"
"310510000080","3105 10 00","Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg","31051000","Mixed fertilisers","12_Mixed fertilisers",,"Mineral or chemical fertilisers of animal or vegetable origin, in tablets or similar forms, or in packages with a gross weight of <= 10 kg"
"310520100080","3105 20 10","Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31052010","Mixed fertilisers","13_Mixed fertilisers",,"Mineral or chemical fertilisers containing phosphorus and potassium, with a nitrogen content > 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310520900080","3105 20 90","Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31052090","Mixed fertilisers","14_Mixed fertilisers",,"Mineral or chemical fertilisers containing nitrogen, phosphorus and potassium, with a nitrogen content <= 10 % by weight on the dry anhydrous product (excl. those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310530000080","3105 30 00","Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31053000","Mixed fertilisers","15_Mixed fertilisers",,"Diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310540000080","3105 40 00","Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31054000","Mixed fertilisers","16_Mixed fertilisers",,"Ammonium dihydrogenorthophosphate ""monoammonium phosphate"", whether or not mixed with diammonium hydrogenorthophosphate ""diammonium phosphate"" (excl. that in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310551000080","3105 51 00","Mineral or chemical fertilisers containing nitrates and phosphates (excl. ammonium dihydrogenorthophosphate ""Monoammonium phosphate"", diammonium hydrogenorthophosphate ""Diammonium phosphate"", and those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31055100","Mixed fertilisers","17_Mixed fertilisers",,"Mineral or chemical fertilisers containing nitrates and phosphates (excl. ammonium dihydrogenorthophosphate ""Monoammonium phosphate"", diammonium hydrogenorthophosphate ""Diammonium phosphate"", and those in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310559000080","3105 59 00","Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excl. nitrate) and phosphorus but not nitrates (excl. ammonium dihydrogenorthophosphate ""monoammonium phosphate"", diammonium hydrogenorthophosphate ""diammonium phosphate"" in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31055900","Mixed fertilisers","18_Mixed fertilisers",,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen (excl. nitrate) and phosphorus but not nitrates (excl. ammonium dihydrogenorthophosphate ""monoammonium phosphate"", diammonium hydrogenorthophosphate ""diammonium phosphate"" in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310590200080","3105 90 20","Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)","31059020","Mixed fertilisers","19_Mixed fertilisers",,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one principal fertilising substance only, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, containing > 10% nitrogen by weight (excl. in tablets or similar forms, or in packages with a gross weight of <= 10 kg)"
"310590800080","3105 90 80","Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)","31059080","Mixed fertilisers","20_Mixed fertilisers",,"Mineral or chemical fertilisers containing the two fertilising elements nitrogen and potassium, or one main fertilising element, incl. mixtures of animal or vegetable fertilisers with chemical or mineral fertilisers, not containing nitrogen or with a nitrogen content, by weight, of <= 10% (excl. in tablets or similar forms or in packages of a gross weight of <= 10 kg)"
"720110110080","7201 10 11","Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, >= 0,4% manganese and <= 1% silicon","72011011","Pig iron","1_Pig iron",,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, >= 0,4% manganese and <= 1% silicon"
"720110190080","7201 10 19","Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, >= 0,4% manganese and > 1% silicon","72011019","Pig iron","2_Pig iron",,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, >= 0,4% manganese and > 1% silicon"
"720110300080","7201 10 30","Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, and >= 0,1% but < 0,4% manganese","72011030","Pig iron","3_Pig iron",,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, and >= 0,1% but < 0,4% manganese"
"720110900080","7201 10 90","Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, and <= 0,1% manganese","72011090","Pig iron","4_Pig iron",,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight <= 0,5% phosphorus, and <= 0,1% manganese"
"720120000080","7201 20 00","Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,5% phosphorus","72012000","Pig iron","5_Pig iron",,"Non-alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,5% phosphorus"
"720150100080","7201 50 10","Alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,3% but <= 1% titanium and >= 0,5% but <= 1% vanadium","72015010","Pig iron","6_Pig iron",,"Alloy pig iron in pigs, blocks or other primary forms, containing by weight >= 0,3% but <= 1% titanium and >= 0,5% but <= 1% vanadium"
"720150900080","7201 50 90","Alloy pig iron and spiegeleisen, in pigs, blocks or other primary forms (excl. alloy iron containing, by weight, >= 0,3% but <= 1% titanium and >= 0,5% but <= 1% vanadium)","72015090","Pig iron","7_Pig iron",,"Alloy pig iron and spiegeleisen, in pigs, blocks or other primary forms (excl. alloy iron containing, by weight, >= 0,3% but <= 1% titanium and >= 0,5% but <= 1% vanadium)"
"720211200080","7202 11 20","Ferro-manganese, containing by weight > 2% carbon, with a granulometry <= 5 mm and a manganese content by weight > 65%","72021120","Alloys (FeMn, FeCr, FeNi)","1_Alloys (FeMn, FeCr, FeNi)",,"Ferro-manganese, containing by weight > 2% carbon, with a granulometry <= 5 mm and a manganese content by weight > 65%"
"720211800080","7202 11 80","Ferro-manganese, containing by weight > 2% carbon (excl. ferro-manganese with a granulometry of <= 5 mm and containing by weight > 65% manganese)","72021180","Alloys (FeMn, FeCr, FeNi)","2_Alloys (FeMn, FeCr, FeNi)",,"Ferro-manganese, containing by weight > 2% carbon (excl. ferro-manganese with a granulometry of <= 5 mm and containing by weight > 65% manganese)"
"720219000080","7202 19 00","Ferro-manganese, containing by weight <= 2% carbon","72021900","Alloys (FeMn, FeCr, FeNi)","3_Alloys (FeMn, FeCr, FeNi)",,"Ferro-manganese, containing by weight <= 2% carbon"
"720241100080","7202 41 10","Ferro-chromium, containing by weight > 4% but <= 6% carbon","72024110","Alloys (FeMn, FeCr, FeNi)","4_Alloys (FeMn, FeCr, FeNi)",,"Ferro-chromium, containing by weight > 4% but <= 6% carbon"
"720241900080","7202 41 90","Ferro-chromium, containing by weight > 6% carbon","72024190","Alloys (FeMn, FeCr, FeNi)","5_Alloys (FeMn, FeCr, FeNi)",,"Ferro-chromium, containing by weight > 6% carbon"
"720249100080","7202 49 10","Ferro-chromium, containing by weight <= 0,05% carbon","72024910","Alloys (FeMn, FeCr, FeNi)","6_Alloys (FeMn, FeCr, FeNi)",,"Ferro-chromium, containing by weight <= 0,05% carbon"
"720249500080","7202 49 50","Ferro-chromium, containing by weight > 0,05% but <= 0,5% carbon","72024950","Alloys (FeMn, FeCr, FeNi)","7_Alloys (FeMn, FeCr, FeNi)",,"Ferro-chromium, containing by weight > 0,05% but <= 0,5% carbon"
"720249900080","7202 49 90","Ferro-chromium, containing by weight > 0,5% but <= 4% carbon","72024990","Alloys (FeMn, FeCr, FeNi)","8_Alloys (FeMn, FeCr, FeNi)",,"Ferro-chromium, containing by weight > 0,5% but <= 4% carbon"
"720260000080","7202 60 00","Ferro-nickel","72026000","Alloys (FeMn, FeCr, FeNi)","9_Alloys (FeMn, FeCr, FeNi)",,"Ferro-nickel"
"720310000080","7203 10 00","Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms","72031000","Direct reduced iron","1_Direct reduced iron",,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms"
