"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","1","0"
"P2","Text","Summary of products","1","0"
"P3","Number","Ex.","102","0"
"P4","Text","Please click on this link for further guidance on how to complete this section.","3","0"
"P5","Text","Navigation Area:","4","100"
"P6","Boolean","CN Codes","4","100"
"P7","Text","Table of contents","6","202"
"P8","Boolean","Further Guidance","7","102"
"P9","Text","Summary_Processes","5","202"
"P10","Text","SEE (indirect)","4","200"
"P11","Text","SEE (total)","4","200"
"P12","Text","Unit","4","200"
"P13","Text","Share of emissions by default value","3","101"
"P14","Text","Source for electricity EF","5","200"
"P15","Text","Embedded electricity (MWh/t)","6","200"
"P16","Boolean","The main reducing agent of the precursor, if known","5","100"
"P17","Boolean","Steel mill identification number","4","100"
"P18","Text","% Mn","3","100"
"P19","Text","% Cr","3","100"
"P20","Text","% Ni","3","100"
"P21","Text","% other alloys","3","100"
"P22","Text","% carbon","3","100"
"P23","Text","t scrap per t steel","2","100"
"P24","Text","% other materials","3","100"
"P25","Text","% pre-consumer scrap","2","100"
"P26","Text","t scrap per t aluminium","2","100"
"P27","Text","% non-aluminium elements","2","100"
"P28","Boolean","Clinker factor","3","100"
"P29","Boolean","Calcined or not","3","100"
"P30","Boolean","Concentration, if hydrous solution","3","100"
"P31","Boolean","% nitric acid","3","100"
"P32","Boolean","% urea","3","100"
"P33","Boolean","% N contained","3","100"
"P34","Boolean","% N as ammonium (NH4+)","3","100"
"P35","Boolean","% N as nitrate (NO3?)","3","100"
"P36","Boolean","% N as Urea","3","100"
"P37","Boolean","% N in other (organic) forms","3","100"
"P38","Text","Type of instrument (carbon pricing)","4","100"
"P39","Text","Share of total embedded emissions covered by the carbon price","3","100"
"P40","Text","Embedded emissions covered by the carbon price","4","200"
"P41","Text","tCO2e/t","3","200"
"P42","Text","Currency","3","100"
"P43","Text","US Dollar","2","100"
"P44","Text","Carbon price (CP) due (per produced t or MWh)","3","100"
"P45","Text","USD/t","3","200"
"P46","Text","Type of rebate","3","100"
"P47","Text","Share of embedded emissions covered by the rebate","3","100"
"P48","Text","Embedded emissions covered by rebate","4","200"
"P49","Text","tCO2e/t","3","200"
"P50","Text","Amount of rebate (per produced t or MWh)","3","100"
"P51","Text","USD/t","3","200"
"P52","Text","Result: Effective CP due (per produced t or MWh)","4","200"
"P53","Text","USD/t","3","200"
"P54","Text","ausblenden","2","0"
"P55","Text","ausblenden","3","0"
"P56","Text","ausblenden","5","100"
"P57","Text","ausblenden","2","0"
"P58","Text","ausblenden","2","0"
"P59","Text","ausblenden","3","99"
"P60","Text","ausblenden","1","0"
"P61","Text","ausblenden","3","0"
"P62","Text","ausblenden","1","0"
"P63","Text","ausblenden","3","100"
"P64","Text","ausblenden","3","100"
"P65","Text","ausblenden","3","100"
"P66","Text","ausblenden","3","100"
"P67","Text","ausblenden","1","0"
