"SheetName","CellAddress","Type","AlertStyle","Operator","Formula1","Formula2","ErrorMessage"
"Translations","A1",,,,,,
"Translations","B1",,,,,,
"Translations","C1",,,,,,
"Translations","D1",,,,,,
"Translations","E1",,,,,,
"Translations","F1",,,,,,
"Translations","G1",,,,,,
"Translations","H1",,,,,,
"Translations","I1",,,,,,
"Translations","J1",,,,,,
"Translations","K1",,,,,,
"Translations","L1",,,,,,
"Translations","M1",,,,,,
"Translations","A2",,,,,,
"Translations","B2",,,,,,
"Translations","C2",,,,,,
"Translations","D2",,,,,,
"Translations","E2",,,,,,
"Translations","F2",,,,,,
"Translations","G2",,,,,,
"Translations","H2",,,,,,
"Translations","I2",,,,,,
"Translations","J2",,,,,,
"Translations","K2",,,,,,
"Translations","L2",,,,,,
"Translations","M2",,,,,,
"Translations","A3",,,,,,
"Translations","B3",,,,,,
"Translations","C3",,,,,,
"Translations","D3",,,,,,
"Translations","E3",,,,,,
"Translations","F3",,,,,,
"Translations","G3",,,,,,
"Translations","H3",,,,,,
"Translations","I3",,,,,,
"Translations","J3",,,,,,
"Translations","K3",,,,,,
"Translations","L3",,,,,,
"Translations","M3",,,,,,
"Translations","A4",,,,,,
"Translations","B4",,,,,,
"Translations","C4",,,,,,
"Translations","D4",,,,,,
"Translations","E4",,,,,,
"Translations","F4",,,,,,
"Translations","G4",,,,,,
"Translations","H4",,,,,,
"Translations","I4",,,,,,
"Translations","J4",,,,,,
"Translations","K4",,,,,,
"Translations","L4",,,,,,
"Translations","M4",,,,,,
"Translations","A5",,,,,,
"Translations","B5",,,,,,
"Translations","C5",,,,,,
"Translations","D5",,,,,,
"Translations","E5",,,,,,
"Translations","F5",,,,,,
"Translations","G5",,,,,,
"Translations","H5",,,,,,
"Translations","I5",,,,,,
"Translations","J5",,,,,,
"Translations","K5",,,,,,
"Translations","L5",,,,,,
"Translations","M5",,,,,,
"Translations","A6",,,,,,
"Translations","B6",,,,,,
"Translations","C6",,,,,,
"Translations","D6",,,,,,
"Translations","E6",,,,,,
"Translations","F6",,,,,,
"Translations","G6",,,,,,
"Translations","H6",,,,,,
"Translations","I6",,,,,,
"Translations","J6",,,,,,
"Translations","K6",,,,,,
"Translations","L6",,,,,,
"Translations","M6",,,,,,
"Translations","A7",,,,,,
"Translations","B7",,,,,,
"Translations","C7",,,,,,
"Translations","D7",,,,,,
"Translations","E7",,,,,,
"Translations","F7",,,,,,
"Translations","G7",,,,,,
"Translations","H7",,,,,,
"Translations","I7",,,,,,
"Translations","J7",,,,,,
"Translations","K7",,,,,,
"Translations","L7",,,,,,
"Translations","M7",,,,,,
"Translations","A8",,,,,,
"Translations","B8",,,,,,
"Translations","C8",,,,,,
"Translations","D8",,,,,,
"Translations","E8",,,,,,
"Translations","F8",,,,,,
"Translations","G8",,,,,,
"Translations","H8",,,,,,
"Translations","I8",,,,,,
"Translations","J8",,,,,,
"Translations","K8",,,,,,
"Translations","L8",,,,,,
"Translations","M8",,,,,,
"Translations","A9",,,,,,
"Translations","B9",,,,,,
"Translations","C9",,,,,,
"Translations","D9",,,,,,
"Translations","E9",,,,,,
"Translations","F9",,,,,,
"Translations","G9",,,,,,
"Translations","H9",,,,,,
"Translations","I9",,,,,,
"Translations","J9",,,,,,
"Translations","K9",,,,,,
"Translations","L9",,,,,,
"Translations","M9",,,,,,
"Translations","A10",,,,,,
"Translations","B10",,,,,,
