"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13"
,"If you want to translate the guidance text in this template into another language, please select the next available column (first one available is column D) and copy the text in the new language into the corresponding rows and select the column number (e.g. ""4"" for column D) in cell A3.",,,,,,,,,,,
,"However, do NOT make any changes to columns B (which will display the correct text based on the selection in A3) and column C which shall always contain the English translation",,,,,,,,,,,
"3",,,,,,,,,,,,
"Reference","Used language version","English Version (Original)","Language 2","Language 2","Language 3","Language 4","Language 5","Language 6","Language 7","Language 8","Language 9","Language 10"
"1","Version history","Version history",,,,,,,,,,
"2","Sheet ""Version history""","Sheet ""Version history""",,,,,,,,,,
"3","Version","Version",,,,,,,,,,
"4","Date","Date",,,,,,,,,,
"5","Description","Description",,,,,,,,,,
"6","Table of contents","Table of contents",,,,,,,,,,
"7","Navigation Area:","Navigation Area:",,,,,,,,,,
"8","Sheet ""Table of contents""","Sheet ""Table of contents""",,,,,,,,,,
"9","The following two sheets summarise the results at process and product level, respectively:","The following two sheets summarise the results at process and product level, respectively:",,,,,,,,,,
"10","The following sheet summarises the main information to be communicated to the reporting declarant:","The following sheet summarises the main information to be communicated to the reporting declarant:",,,,,,,,,,
"11","Language version:","Language version:",,,,,,,,,,
"12","Reference filename:","Reference filename:",,,,,,,,,,
"13","Information about this file:","Information about this file:",,,,,,,,,,
"14","Installation name:","Installation name:",,,,,,,,,,
"15","Reporting period:","Reporting period:",,,,,,,,,,
"16","from:","from:",,,,,,,,,,
"17","to:","to:",,,,,,,,,,
"18","Guidelines & Conditions","Guidelines & Conditions",,,,,,,,,,
"19","Sheet ""Guidelines & conditions""","Sheet ""Guidelines & conditions""",,,,,,,,,,
"20","General Information on this Template","General Information on this Template",,,,,,,,,,
"21","General information","General information",,,,,,,,,,
"22","Regulation (EU) 2023/956 establishes a carbon border adjustment mechanism (the ?CBAM Regulation?) to address greenhouse gas emissions embedded in certain goods ('CBAM goods': iron and steel, cement, aluminium, fertilisers, hydrogen and electricity) on their importation into the customs territory of the European Union (the EU). The Regulation can be downloaded from:","Regulation (EU) 2023/956 establishes a carbon border adjustment mechanism (the ?CBAM Regulation?) to address greenhouse gas emissions embedded in certain goods ('CBAM goods': iron and steel, cement, aluminium, fertilisers, hydrogen and electricity) on their importation into the customs territory of the European Union (the EU). The Regulation can be downloaded from:",,,,,,,,,,
"23","https://eur-lex.europa.eu/eli/reg/2023/956/oj","https://eur-lex.europa.eu/eli/reg/2023/956/oj",,,,,,,,,,
