"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","1","0"
"P2","Text","Table of contents","1","0"
"P3","Text","Sheet ""Table of contents""","9","0"
"P4","Text","Sheet ""Version history""","26","0"
"P5","Text","Navigation Area:","18","0"
"P6","Unknown","","0","0"
"P7","Text","Table of contents","1","0"
"P8","Text","English Version (Original)","4","1"
"P9","Text","Further Guidance","2","1"
"P10","Text","to:","1","0"
"P11","Text","Summary_Processes","2","1"
"P12","Unknown","","0","0"
"P13","Text","Summary_Products","1","0"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","2","0"
"P19","Text","ausblenden","35","0"
"P20","Text","ausblenden","16","0"
"P21","Text","ausblenden","2","0"
"P22","Unknown","","0","0"
