"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","3","0"
"P2","Number","Guidelines & Conditions","15","0"
"P3","Text","Sheet ""Guidelines & conditions""","25","0"
"P4","Text","Black bold text:","4","0"
"P5","Text","Navigation Area:","4","0"
"P6","Text","This is text describing the input required.","9","0"
"P7","Text","Table of contents","2","0"
"P8","Unknown","","0","0"
"P9","Text","Further Guidance","2","0"
"P10","Unknown","","0","0"
"P11","Text","Summary_Processes","1","0"
"P12","Unknown","","0","0"
"P13","Text","Summary_Products","1","0"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","5","0"
"P19","Text","ausblenden","2","0"
"P20","Text","ausblenden","3","0"
"P21","Text","ausblenden","2","0"
