"ColumnName","DataType","SampleValue","UniqueCount","NullCount"
"P1","Text","ausblenden","3","0"
"P2","Text","Code Lists","1","0"
"P3","Text","Sheet ""Code Lists""","3","0"
"P4","Text","Countries & Currencies","2","0"
"P5","Text","Navigation Area:","1019","0"
"P6","Text","Code","1016","0"
"P7","Text","Table of contents","267","0"
"P8","Unknown","","0","0"
"P9","Text","Further Guidance","2","0"
"P10","Number","1","167","0"
"P11","Text","Summary_Processes","169","0"
"P12","Text","Currency Name","167","0"
"P13","Text","Summary_Products","20","0"
"P14","Unknown","","0","0"
"P15","Unknown","","0","0"
"P16","Text","ausblenden","2","0"
"P17","Text","ausblenden","1","0"
"P18","Text","ausblenden","6","0"
"P19","Text","ausblenden","6","0"
"P20","Text","ausblenden","4","0"
"P21","Text","ausblenden","3","0"
"P22","Text","ausblenden","3","0"
"P23","Text","ausblenden","1","0"
"P24","Text","ausblenden","2","0"
