"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24"
"ausblenden",,,,,,,,,,,,,,,"ausblenden","ausblenden","ausblenden","ausblenden","ausblenden","ausblenden","ausblenden","ausblenden","ausblenden"
,"Code Lists",,,"Navigation Area:",,"Table of contents",,"Further Guidance",,"Summary_Processes",,"Summary_Products",,,,,"Print area:","$B$2:$O$1041","Name of this sheet","c_CodeLists",,,
,,,,,,"Countries & Currencies",,"CN Codes",,,,,,,,,"1",,"2",,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,"Sheet ""Code Lists""",,,,,,,,,,,,,,,"Marker","EmbedEm",,,"Errors",,"Cond. form."
,,,,,,,,,,,,,,,,,,,,,,,
"1",,"1","Countries & Currencies",,,,,,,,,,,,,,"Countries & Currencies","1",,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Code","Country Name",,,,"Code","Currency Name",,,,,,,"CNTR_ListCountriesCode","CNTR_ListCountriesName","CNTR_ListCurrenciesCode","CNTR_ListCurrenciesName",,
,,,"1","AD","Andorra",,,"1","AED","UAE Dirham",,,,,,,,,,,,
,,,"2","AE","United Arab Emirates",,,"2","AFN","Afghani",,,,,,,,,,,,
,,,"3","AF","Afghanistan",,,"3","ALL","Lek",,,,,,,,,,,,
,,,"4","AG","Antigua and Barbuda",,,"4","AMD","Armenian Dram",,,,,,,,,,,,
,,,"5","AI","Anguilla",,,"5","ANG","Netherlands Antillean Guilder",,,,,,,,,,,,
,,,"6","AL","Albania",,,"6","AOA","Kwanza",,,,,,,,,,,,
,,,"7","AM","Armenia",,,"7","ARS","Argentine Peso",,,,,,,,,,,,
,,,"8","AN","Netherlands Antilles",,,"8","AUD","Australian Dollar",,,,,,,,,,,,
,,,"9","AO","Angola",,,"9","AWG","Aruban Florin",,,,,,,,,,,,
,,,"10","AQ","Aruban Florin",,,"10","AZN","Azerbaijan Manat",,,,,,,,,,,,
,,,"11","AR","Argentina",,,"11","BAM","Convertible Mark",,,,,,,,,,,,
,,,"12","AS","American Samoa",,,"12","BBD","Barbados Dollar",,,,,,,,,,,,
,,,"13","AT","Austria",,,"13","BDT","Taka",,,,,,,,,,,,
,,,"14","AU","Australia",,,"14","BGN","Bulgarian Lev",,,,,,,,,,,,
,,,"15","AW","Aruba",,,"15","BHD","Bahraini Dinar",,,,,,,,,,,,
,,,"16","AX","?LAND ISLANDS",,,"16","BIF","Burundi Franc",,,,,,,,,,,,
,,,"17","AZ","Azerbaijan",,,"17","BMD","Bermudian Dollar",,,,,,,,,,,,
,,,"18","BA","Bosnia and Herzegovina",,,"18","BND","Brunei Dollar",,,,,,,,,,,,
,,,"19","BB","Barbados",,,"19","BOB","Boliviano",,,,,,,,,,,,
,,,"20","BD","Bangladesh",,,"20","BOV","Mvdol",,,,,,,,,,,,
,,,"21","BE","Belgium",,,"21","BRL","Brazilian Real",,,,,,,,,,,,
,,,"22","BF","Burkina Faso",,,"22","BSD","Bahamian Dollar",,,,,,,,,,,,
,,,"23","BG","Bulgaria",,,"23","BTN","Ngultrum",,,,,,,,,,,,
,,,"24","BH","Bahrain",,,"24","BWP","Pula",,,,,,,,,,,,
,,,"25","BI","Burundi",,,"25","BYN","Belarusian Ruble",,,,,,,,,,,,
,,,"26","BJ","Benin",,,"26","BZD","Belize Dollar",,,,,,,,,,,,
,,,"27","BL","Saint Barth?lemy",,,"27","CAD","Canadian Dollar",,,,,,,,,,,,
,,,"28","BM","Bermuda",,,"28","CDF","Congolese Franc",,,,,,,,,,,,
,,,"29","BN","Brunei Darussalam",,,"29","CHE","WIR Euro",,,,,,,,,,,,
,,,"30","BO","Bolivia, Plurinational State of",,,"30","CHF","Swiss Franc",,,,,,,,,,,,
,,,"31","BQ","Bonaire, Sint Eustatius and Saba",,,"31","CHW","WIR Franc",,,,,,,,,,,,
,,,"32","BR","Brazil",,,"32","CLF","Unidad de Fomento",,,,,,,,,,,,
,,,"33","BS","Bahamas",,,"33","CLP","Chilean Peso",,,,,,,,,,,,
,,,"34","BT","Bhutan",,,"34","CNY","Yuan Renminbi",,,,,,,,,,,,
,,,"35","BV","Bouvet Island",,,"35","COP","Colombian Peso",,,,,,,,,,,,
,,,"36","BW","Botswana",,,"36","COU","Unidad de Valor Real",,,,,,,,,,,,
,,,"37","BY","Belarus",,,"37","CRC","Costa Rican Colon",,,,,,,,,,,,
,,,"38","BZ","Belize",,,"38","CUC","Peso Convertible",,,,,,,,,,,,
,,,"39","CA","Canada",,,"39","CUP","Cuban Peso",,,,,,,,,,,,
,,,"40","CC","Cocos Islands (or Keeling Islands)",,,"40","CVE","Cabo Verde Escudo",,,,,,,,,,,,
,,,"41","CD","Congo, Democratic Republic of",,,"41","CZK","Czech Koruna",,,,,,,,,,,,
,,,"42","CF","Central African Republic",,,"42","DJF","Djibouti Franc",,,,,,,,,,,,
,,,"43","CG","Congo",,,"43","DKK","Danish Krone",,,,,,,,,,,,
,,,"44","CH","Switzerland",,,"44","DOP","Dominican Peso",,,,,,,,,,,,
,,,"45","CI","C?te d'Ivoire",,,"45","DZD","Algerian Dinar",,,,,,,,,,,,
